file_name,run_id,rows,columns,duplicate_rows,missing_values,infinite_values,class_count,class_percentage,scenario_distribution,scenario_field_available,target_column_exists,target_agrees_with_official_scenario_mapping
data1.csv,1,4966,129,0,665,0,"{'normal': 1100, 'attack': 3866}","{'normal': 0.22150624244865083, 'attack': 0.7784937575513492}",{nan: 4966},False,False,
data2.csv,2,5069,129,0,650,0,"{'normal': 1544, 'attack': 3525}","{'normal': 0.30459656737029, 'attack': 0.69540343262971}",{nan: 5069},False,False,
data3.csv,3,5415,129,0,740,0,"{'normal': 1604, 'attack': 3811}","{'normal': 0.2962142197599261, 'attack': 0.7037857802400739}",{nan: 5415},False,False,
data4.csv,4,5202,129,0,705,0,"{'normal': 1800, 'attack': 3402}","{'normal': 0.3460207612456747, 'attack': 0.6539792387543253}",{nan: 5202},False,False,
data5.csv,5,5161,129,0,734,0,"{'normal': 1481, 'attack': 3680}","{'normal': 0.28695989149389656, 'attack': 0.7130401085061034}",{nan: 5161},False,False,
data6.csv,6,4967,129,0,675,0,"{'normal': 1477, 'attack': 3490}","{'normal': 0.2973625931145561, 'attack': 0.702637406885444}",{nan: 4967},False,False,
data7.csv,7,5236,129,0,703,0,"{'normal': 1326, 'attack': 3910}","{'normal': 0.2532467532467532, 'attack': 0.7467532467532467}",{nan: 5236},False,False,
data8.csv,8,5315,129,8,783,0,"{'normal': 1544, 'attack': 3771}","{'normal': 0.2904985888993415, 'attack': 0.7095014111006586}",{nan: 5315},False,False,
data9.csv,9,5340,129,0,736,0,"{'normal': 1770, 'attack': 3570}","{'normal': 0.33146067415730335, 'attack': 0.6685393258426966}",{nan: 5340},False,False,
data10.csv,10,5569,129,0,922,0,"{'normal': 1648, 'attack': 3921}","{'normal': 0.2959238642485186, 'attack': 0.7040761357514814}",{nan: 5569},False,False,
data11.csv,11,5251,129,0,723,0,"{'normal': 1282, 'attack': 3969}","{'normal': 0.24414397257665207, 'attack': 0.7558560274233479}",{nan: 5251},False,False,
data12.csv,12,5224,129,0,766,0,"{'normal': 1771, 'attack': 3453}","{'normal': 0.33901225114854516, 'attack': 0.6609877488514548}",{nan: 5224},False,False,
data13.csv,13,5271,129,0,656,0,"{'normal': 1153, 'attack': 4118}","{'normal': 0.21874407133371276, 'attack': 0.7812559286662872}",{nan: 5271},False,False,
data14.csv,14,5115,129,0,726,0,"{'normal': 1353, 'attack': 3762}","{'normal': 0.2645161290322581, 'attack': 0.7354838709677419}",{nan: 5115},False,False,
data15.csv,15,5276,129,0,722,0,"{'normal': 1861, 'attack': 3415}","{'normal': 0.35272934040940107, 'attack': 0.6472706595905989}",{nan: 5276},False,False,
